Date,Open,High,Low,Close,Adj Close,Volume
9/2/2020,840,855,830,850,850,126138900
9/3/2020,850,855,825,830,830,96483000
9/4/2020,820,830,800,825,825,93463300
9/7/2020,825,830,810,825,825,35138000
9/8/2020,825,840,820,825,825,60255800
9/9/2020,810,810,780,795,795,109624500
9/10/2020,785,790,740,740,740,121922400
9/11/2020,710,780,700,775,775,114696400
9/14/2020,780,805,780,800,800,61791200
9/15/2020,810,820,785,805,805,66313200
9/16/2020,805,810,785,795,795,31285000
9/17/2020,805,805,765,775,775,47543300
9/18/2020,780,795,775,790,790,28855300
9/21/2020,785,790,760,765,765,34817700
9/22/2020,750,755,725,735,735,52789600
9/23/2020,755,780,735,750,750,95405500
9/24/2020,750,750,705,720,720,69787900
9/25/2020,735,735,715,730,730,42231400
9/28/2020,730,740,715,725,725,23365500
9/29/2020,735,740,715,715,715,47576900
9/30/2020,720,730,695,705,705,40688700
10/1/2020,710,740,710,735,735,45502700
10/2/2020,735,735,705,725,725,56903300
10/5/2020,735,735,715,720,720,20089800
10/6/2020,730,735,715,720,720,39918300
10/7/2020,715,720,710,715,715,22001600
10/8/2020,720,730,715,720,720,28843100
10/9/2020,730,775,725,765,765,175465400
10/12/2020,780,790,765,780,780,108451600
10/13/2020,780,780,760,765,765,47798000
10/14/2020,775,955,775,955,955,1116793100
10/15/2020,1020,1180,920,935,935,1510069900
10/16/2020,960,995,920,940,940,638756000
10/19/2020,970,1055,950,1055,1055,1158293800
10/20/2020,1055,1065,1020,1035,1035,789265700
10/21/2020,1050,1145,1050,1100,1100,1370011500
10/22/2020,1100,1120,1075,1085,1085,465407900
10/23/2020,1095,1120,1060,1085,1085,392722300
10/26/2020,1090,1095,1060,1060,1060,183290100
10/27/2020,1050,1095,1050,1055,1055,333734100
11/2/2020,1065,1125,1055,1100,1100,571253300
11/3/2020,1115,1130,1105,1110,1110,317572700
11/4/2020,1125,1145,1100,1105,1105,410216500
11/5/2020,1130,1145,1115,1125,1125,240422000
11/6/2020,1140,1140,1115,1125,1125,202159600
11/9/2020,1140,1245,1135,1240,1240,846313500
11/10/2020,1250,1255,1195,1200,1200,604934300
11/11/2020,1210,1240,1185,1195,1195,628878500
11/12/2020,1190,1205,1165,1170,1170,200055900
11/13/2020,1160,1180,1155,1170,1170,172842400
11/16/2020,1200,1210,1180,1185,1185,213486900
11/17/2020,1185,1215,1175,1190,1190,300731400
11/18/2020,1220,1280,1215,1240,1240,853419900
11/19/2020,1240,1245,1220,1235,1235,286394100
11/20/2020,1235,1240,1200,1210,1210,220936900
11/23/2020,1225,1255,1215,1255,1255,371401400
11/24/2020,1255,1255,1220,1235,1235,351292500
11/25/2020,1235,1240,1195,1205,1205,303117600
11/26/2020,1200,1225,1195,1210,1210,147126800
11/27/2020,1230,1250,1215,1230,1230,308954300
11/30/2020,1225,1225,1145,1145,1145,446062400
12/1/2020,1150,1180,1105,1155,1155,240765000
12/2/2020,1170,1260,1170,1245,1245,803420400
12/3/2020,1245,1300,1235,1255,1255,615002200
12/4/2020,1265,1270,1235,1245,1245,155578400
12/7/2020,1270,1295,1260,1280,1280,367250700
12/8/2020,1295,1320,1285,1300,1300,377826500
12/10/2020,1330,1425,1330,1395,1395,686885600
12/11/2020,1475,1500,1435,1450,1450,487755900
12/14/2020,1500,1540,1490,1525,1525,417804400
12/15/2020,1525,1565,1495,1560,1560,462918300
12/16/2020,1595,1925,1590,1815,1815,1272844700
12/17/2020,1840,1880,1775,1815,1815,542949200
12/18/2020,1845,1960,1810,1950,1950,1083731700
12/21/2020,1965,2020,1925,1965,1965,627035000
12/22/2020,1950,1960,1830,1835,1835,678922000
12/23/2020,1830,1850,1720,1790,1790,659296400
12/28/2020,1825,2000,1780,2000,2000,992175000
12/29/2020,2050,2070,1935,1945,1945,739754900
12/30/2020,1945,1985,1905,1935,1935,535943500
1/4/2021,1970,2200,1940,2190,2190,1040753400
1/5/2021,2190,2340,2130,2230,2230,1139014700
1/6/2021,2270,2290,2130,2220,2220,629211500
1/7/2021,2250,2740,2240,2600,2600,1982112200
1/8/2021,2640,2750,2560,2600,2600,1052618000
1/11/2021,2560,2650,2530,2580,2580,521301600
1/12/2021,2580,2780,2550,2770,2770,1147172800
1/13/2021,2850,3130,2850,3120,3120,1280852600
1/14/2021,3140,3440,3060,3180,3180,1499058400
1/15/2021,3300,3380,3040,3120,3120,915912100
1/18/2021,3000,3140,2910,2910,2910,930618200
1/19/2021,2810,2850,2710,2710,2710,360498600
1/20/2021,2540,3200,2530,3190,3190,1983213100
1/21/2021,3290,3340,3030,3090,3090,1273877400
1/22/2021,3090,3090,2880,2880,2880,894766800
1/25/2021,2760,2960,2680,2870,2870,1222991300
1/26/2021,2900,2930,2670,2670,2670,786819300
1/27/2021,2620,2740,2490,2550,2550,1341364800
1/28/2021,2470,2570,2380,2380,2380,731854900
1/29/2021,2370,2440,2220,2220,2220,450321200
2/1/2021,2090,2640,2070,2600,2600,2186652700
2/2/2021,2600,2630,2420,2420,2420,942434300
2/3/2021,2390,2520,2290,2330,2330,948031000
