Date,Open,High,Low,Close,Adj Close,Volume
2/3/2020,725,730,705,715,711.69458,45970300
2/4/2020,725,735,715,730,726.625244,49024800
2/5/2020,730,735,715,725,721.648376,28225000
2/6/2020,730,735,715,735,731.602112,28180200
2/7/2020,730,740,720,730,726.625244,27156200
2/10/2020,750,750,710,720,716.671509,50506700
2/11/2020,730,730,715,720,716.671509,21224000
2/12/2020,720,725,705,715,711.69458,20699300
2/13/2020,715,720,680,680,676.856384,48920800
2/14/2020,680,690,665,675,671.879517,29968100
2/17/2020,675,690,670,680,676.856384,33798800
2/18/2020,680,705,675,690,686.810181,61588700
2/19/2020,700,720,700,705,701.740845,94198000
2/20/2020,710,720,705,710,706.717712,23540300
2/21/2020,715,715,695,700,696.763916,74636900
2/24/2020,710,715,680,685,681.833313,67340700
2/25/2020,685,685,655,660,656.948853,97963600
2/26/2020,650,660,630,630,627.087524,93935900
2/27/2020,630,650,595,600,597.226257,104666900
2/28/2020,590,590,540,575,572.341797,137409800
3/2/2020,580,600,570,585,582.295593,117769700
3/3/2020,600,620,595,615,612.156921,101217900
3/4/2020,615,635,610,630,627.087524,93281500
3/5/2020,635,650,625,630,627.087524,53646700
3/6/2020,625,630,605,610,607.179993,49754200
3/9/2020,590,590,550,555,552.434265,105445200
3/10/2020,555,585,555,575,572.341797,76294500
3/11/2020,580,585,530,540,537.503601,84825600
3/12/2020,520,520,488,490,487.734772,98610300
3/13/2020,490,490,490,490,487.734772,0
3/16/2020,490,490,490,490,487.734772,0
3/17/2020,446,446,416,416,414.076843,45123800
3/18/2020,398,410,388,388,386.206299,78790100
3/19/2020,362,364,362,362,360.326508,8977100
3/20/2020,360,386,338,374,372.271027,164706400
3/23/2020,370,370,348,348,346.391205,90136700
3/24/2020,348,374,340,364,362.317261,155141100
3/26/2020,366,432,366,416,414.076843,267248200
3/27/2020,432,505,426,460,457.873444,292787100
3/30/2020,450,460,428,432,430.002899,74651200
3/31/2020,440,464,434,450,447.919678,89306500
4/1/2020,450,462,434,436,433.984406,81224700
4/2/2020,436,454,424,452,449.910431,83577100
4/3/2020,458,472,450,464,461.85495,115728200
4/6/2020,466,540,466,540,537.503601,224870500
4/7/2020,580,590,520,555,552.434265,256413700
4/8/2020,555,555,520,520,517.596069,90030300
4/9/2020,510,540,492,520,517.596069,105623600
4/13/2020,520,555,510,535,532.526733,72240600
4/14/2020,550,560,540,555,552.434265,84352000
4/15/2020,560,565,525,525,522.572937,87961700
4/16/2020,535,535,494,505,502.665405,100312000
4/17/2020,520,530,500,520,517.596069,94759700
4/20/2020,515,520,496,500,497.688538,80546300
4/21/2020,500,500,476,482,479.771759,92065100
4/22/2020,476,496,466,492,489.725525,74583700
4/23/2020,500,505,490,498,495.697784,86760800
4/24/2020,496,515,486,494,491.716278,86275300
4/27/2020,494,510,494,505,502.665405,56062600
4/28/2020,505,510,490,492,489.725525,45388100
4/29/2020,492,500,492,498,495.697784,25492400
4/30/2020,500,525,500,510,507.642303,85174700
5/4/2020,490,505,484,494,491.716278,64158400
5/5/2020,500,505,494,500,497.688538,37904200
5/6/2020,505,510,498,500,497.688538,40511700
5/8/2020,505,540,500,535,532.526733,185061500
5/11/2020,545,555,530,530,527.549866,113381700
5/12/2020,525,530,510,515,512.619202,47048500
5/13/2020,515,540,505,535,532.526733,69026200
5/14/2020,530,550,510,515,512.619202,81959800
5/15/2020,525,530,505,520,517.596069,67020800
5/18/2020,525,535,520,525,522.572937,46702500
5/19/2020,535,545,525,525,522.572937,61033100
5/20/2020,530,535,510,520,517.596069,41916400
5/26/2020,530,530,515,530,527.549866,32358800
5/27/2020,530,535,515,520,517.596069,43519100
5/28/2020,520,540,515,525,522.572937,71853100
5/29/2020,525,535,520,535,532.526733,58928900
6/2/2020,540,570,535,555,552.434265,137754600
6/3/2020,565,580,545,555,552.434265,147855500
6/4/2020,565,590,550,570,567.364929,214067000
6/5/2020,575,600,575,590,587.272461,187740200
6/8/2020,595,645,595,630,627.087524,246393600
